motif,observed,background,percent.observed,percent.background,fold.enrichment,pvalue,motif.name
MA0019.1,7,2676,9.58904109589041,5.351999999999999,1.7916743452710036,0.09529745976818588,Ddit3::Cebpa
MA0773.1,13,6037,17.80821917808219,12.074,1.4749229069142116,0.09689098700499767,MEF2D
MA0480.2,9,3771,12.32876712328767,7.542,1.634681400595024,0.09758686041039086,Foxo1
MA1537.1,10,4340,13.698630136986301,8.68,1.5781831955053343,0.09907708087804884,NR2F1
MA1135.1,8,3241,10.95890410958904,6.482,1.6906670949689973,0.09963669580055023,FOSB::JUNB
MA1489.1,13,6072,17.80821917808219,12.144,1.4664212103163858,0.10026962734034811,FOXN3
MA0743.2,8,3252,10.95890410958904,6.5040000000000004,1.6849483563328782,0.10110187877257493,SCRT1
MA0511.2,6,2205,8.21917808219178,4.41,1.8637592023110612,0.10280191158052364,RUNX2
MA1544.1,2,373,2.73972602739726,0.746,3.6725549965110726,0.10336261311326324,OVOL1
MA0712.2,15,7299,20.54794520547945,14.597999999999999,1.4075863272694515,0.10447312009833784,OTX2
MA1150.1,9,3835,12.32876712328767,7.670000000000001,1.60740118947688,0.10551108617668377,RORB
MA0139.1,24,12884,32.87671232876712,25.768,1.2758736544849083,0.1064391386616435,CTCF
MA0050.3,17,8528,23.28767123287671,17.055999999999997,1.3653653396386443,0.10649845006327904,Irf1
MA1468.1,7,2754,9.58904109589041,5.508,1.740929755971389,0.10674421071434886,ATOH7
MA0157.3,9,3851,12.32876712328767,7.702000000000001,1.600722815280144,0.1075490593114008,Foxo3
MA1556.1,7,2761,9.58904109589041,5.522,1.7365159536201393,0.10780696149392839,RXRG
MA0614.1,7,2771,9.58904109589041,5.542,1.7302492053212577,0.10933523316975936,Foxj2
MA1588.1,8,3317,10.95890410958904,6.6339999999999995,1.651930073799976,0.11001128072045177,ZNF136
MA0845.1,10,4435,13.698630136986301,8.870000000000001,1.544377693008602,0.11025560876972723,FOXB1
MA1499.1,5,1748,6.8493150684931505,3.496,1.9591862324065077,0.11215744758213678,HOXB4
MA1657.1,8,3338,10.95890410958904,6.676,1.6415374639887717,0.11298111851411781,ZNF652
MA1535.1,8,3339,10.95890410958904,6.678000000000001,1.6410458385128839,0.1131236463992636,NR2C1
MA0466.3,2,398,2.73972602739726,0.796,3.4418668685895226,0.1150619349806889,CEBPB
MA0655.1,7,2819,9.58904109589041,5.638,1.7007877076783275,0.11683458011160193,JDP2
MA1998.1,7,2819,9.58904109589041,5.638,1.7007877076783275,0.11683458011160193,Prdm14
MA1602.1,4,1283,5.47945205479452,2.566,2.13540610085523,0.11811838940581129,ZSCAN29
MA1974.1,5,1781,6.8493150684931505,3.562,1.9228846346134618,0.11883797430509747,ZNF211
MA0704.1,6,2298,8.21917808219178,4.596,1.7883329160556527,0.11885168963724667,Lhx4
MA0721.1,6,2298,8.21917808219178,4.596,1.7883329160556527,0.11885168963724667,UNCX
MA0710.1,6,2304,8.21917808219178,4.6080000000000005,1.7836757990867576,0.11992881124935499,NOTO
MA0769.2,9,3950,12.32876712328767,7.9,1.5606034333275531,0.12066124173128795,TCF7
MA0103.3,17,8691,23.28767123287671,17.382,1.3397578663489074,0.12133089326423298,ZEB1
MA0801.1,9,3966,12.32876712328767,7.932,1.55430750419663,0.12286093088906826,MGA
MA0803.1,9,3966,12.32876712328767,7.932,1.55430750419663,0.12286093088906826,TBX15
MA0634.1,8,3406,10.95890410958904,6.812,1.6087645492643923,0.12290063559621485,ALX3
MA0112.3,8,3412,10.95890410958904,6.824,1.6059355377475149,0.12379792676095734,ESR1
MA1557.1,3,843,4.10958904109589,1.686,2.4374786720616193,0.1256685020013339,SMAD5
MA0092.1,9,3991,12.32876712328767,7.982,1.5445711755559597,0.12634238028421785,Hand1::Tcf3
MA0138.2,13,6323,17.80821917808219,12.645999999999999,1.4082096455861293,0.12663968667344833,REST
MA0775.1,8,3433,10.95890410958904,6.866,1.596111871481072,0.12696633400535745,MEIS3
MA1152.1,12,5739,16.43835616438356,11.478,1.4321620634591008,0.1276660963107367,SOX15
MA1553.1,5,1827,6.8493150684931505,3.6540000000000004,1.8744704620944581,0.12846150972460238,RARG
MA0042.2,9,4009,12.32876712328767,8.018,1.5376362089408417,0.12888241767389272,FOXI1
MA0033.2,9,4009,12.32876712328767,8.018,1.5376362089408417,0.12888241767389272,FOXL1
MA0848.1,9,4009,12.32876712328767,8.018,1.5376362089408417,0.12888241767389272,FOXO4
MA0849.1,9,4009,12.32876712328767,8.018,1.5376362089408417,0.12888241767389272,FOXO6
MA0850.1,9,4009,12.32876712328767,8.018,1.5376362089408417,0.12888241767389272,FOXP3
MA1983.1,10,4585,13.698630136986301,9.17,1.4938527957455072,0.12934676334776032,ZNF582
MA0498.2,9,4024,12.32876712328767,8.048,1.5319044636291836,0.13102036514662993,MEIS1
MA0014.3,5,1840,6.8493150684931505,3.6799999999999997,1.8612269207861825,0.13124542312585963,PAX5
MA1933.1,5,1841,6.8493150684931505,3.682,1.860215933865603,0.13146072405883819,ELK1::SREBF2
MA1125.1,21,11312,28.767123287671232,22.624,1.2715312627153126,0.13330098560455828,ZNF384
MA1563.2,6,2382,8.21917808219178,4.764,1.725268279217418,0.13437766497156245,SOX18
MA0036.3,8,3494,10.95890410958904,6.9879999999999995,1.5682461519160047,0.13641346649393613,GATA2
MA0145.2,13,6410,17.80821917808219,12.82,1.389096659756801,0.13665160971611634,Tfcp2l1
MA1607.1,10,4651,13.698630136986301,9.302000000000001,1.472654282625919,0.138296742255034,Foxl2
MA1640.1,8,3515,10.95890410958904,7.03,1.5588768292445292,0.13974861862334326,MEIS2
MA0673.1,8,3518,10.95890410958904,7.0360000000000005,1.557547485728971,0.14022849578551674,NKX2-8
MA1709.1,16,8311,21.91780821917808,16.622,1.318602347441829,0.14523444147513512,ZIM3
MA0787.1,9,4124,12.32876712328767,8.248,1.4947583806119873,0.14576063692345337,POU3F2
MA1547.2,12,5890,16.43835616438356,11.78,1.395446193920506,0.14626592306792835,PITX2
MA0135.1,9,4151,12.32876712328767,8.302,1.4850357893625237,0.1498835523693525,Lhx3
MA0505.2,11,5326,15.068493150684931,10.652000000000001,1.4146163303309172,0.15037746664733231,Nr5A2
MA1601.2,11,5329,15.068493150684931,10.658,1.4138199615955087,0.15078744979753794,ZNF75D
MA0106.3,5,1938,6.8493150684931505,3.8760000000000003,1.7671091507980263,0.15310362298348812,TP53
MA1576.1,10,4762,13.698630136986301,9.524000000000001,1.4383273978356048,0.1540873430864486,THRB
MA1552.1,5,1945,6.8493150684931505,3.8899999999999997,1.760749374933972,0.15472172017658611,RARB
MA0041.2,15,7782,20.54794520547945,15.564,1.3202226423464052,0.1550369602253833,FOXD3
MA0611.2,7,3044,9.58904109589041,6.088,1.575072453332853,0.15547170652506231,Dux
MA0072.1,8,3612,10.95890410958904,7.224,1.5170133042066778,0.15569130830429648,RORA
MA0607.2,4,1437,5.47945205479452,2.874,1.9065595180217536,0.15833777977878158,BHLHA15
MA1105.2,8,3641,10.95890410958904,7.282,1.5049305286444714,0.16062538083500846,GRHL2
MA0838.1,3,949,4.10958904109589,1.8980000000000001,2.1652207803455688,0.1614768277336261,CEBPG
MA0713.1,9,4236,12.32876712328767,8.472,1.4552369125693663,0.1632496263724534,PHOX2A
MA0826.1,4,1460,5.47945205479452,2.92,1.8765246762994934,0.16474530458531897,OLIG1
MA1727.1,6,2545,8.21917808219178,5.09,1.614769760744947,0.16711495333983467,ZNF417
MA1716.1,11,5446,15.068493150684931,10.892,1.3834459374481207,0.16724104594018294,ZNF76
MA0467.2,13,6672,17.80821917808219,13.344000000000001,1.3345487993167107,0.1694413402249196,Crx
MA1643.1,16,8535,21.91780821917808,17.07,1.2839957949137715,0.17082810882331753,NFIB
MA1949.1,5,2014,6.8493150684931505,4.0280000000000005,1.7004257866169687,0.1710532623059616,FLI1::DRGX
MA0031.1,7,3131,9.58904109589041,6.262,1.531306466925968,0.17186210789707349,FOXD1
MA0613.1,5,2026,6.8493150684931505,4.052,1.6903541630042327,0.17396197016954768,FOXG1
MA0757.1,7,3162,9.58904109589041,6.324000000000001,1.5162936584266935,0.17788425550755316,ONECUT3
MA0091.1,10,4920,13.698630136986301,9.84,1.3921372090433233,0.17810282031257357,TAL1::TCF3
MA0507.2,8,3743,10.95890410958904,7.486,1.4639198650265883,0.17856846641004334,POU2F2
MA1575.1,6,2602,8.21917808219178,5.204000000000001,1.5793962494603726,0.17931664483466997,THRB
MA0083.3,4,1515,5.47945205479452,3.0300000000000002,1.8084000180839999,0.18044284103318392,SRF
MA0676.1,7,3197,9.58904109589041,6.394,1.4996936340147653,0.18479394326663717,Nr2e1
MA0785.1,8,3792,10.95890410958904,7.5840000000000005,1.4450031790069937,0.18750235134636636,POU2F1
MA0509.3,5,2090,6.8493150684931505,4.18,1.638592121649079,0.18979782450510588,RFX1
MA0822.1,5,2108,6.8493150684931505,4.216,1.6246003483143145,0.19434559433363727,HES7
MA0592.3,10,5036,13.698630136986301,10.072000000000001,1.3600705060550338,0.19682328500720386,ESRRA
MA0876.1,6,2688,8.21917808219178,5.376,1.5288649706457924,0.1983992051719722,BSX
MA0762.1,5,2127,6.8493150684931505,4.2540000000000004,1.610088168428103,0.1991886730765417,ETV2
MA0691.1,9,4459,12.32876712328767,8.918,1.3824587489669962,0.2009578559713062,TFAP4
MA1729.1,12,6297,16.43835616438356,12.594,1.3052529906609147,0.2032669951229422,ZNF680
MA0807.1,10,5102,13.698630136986301,10.204,1.3424764932366033,0.20786183664471053,TBX5
MA1958.1,5,2164,6.8493150684931505,4.328,1.5825589344947204,0.20874106310331597,HOXD12::ELK1
MA1115.1,9,4518,12.32876712328767,9.036,1.3644053921301098,0.21152981820777214,POU5F1
MA0070.1,5,2176,6.8493150684931505,4.352,1.5738315874294921,0.21187230213779254,PBX1
MA1541.1,8,3923,10.95890410958904,7.846,1.3967504600546827,0.21232306057695266,NR6A1
MA0784.2,8,3939,10.95890410958904,7.878,1.3910769369876923,0.21544312511771688,POU1F1
MA1985.1,5,2196,6.8493150684931505,4.392,1.5594979664146515,0.2171257868280129,ZNF669
MA0679.2,8,3956,10.95890410958904,7.912,1.3850991038408798,0.21877829401598345,ONECUT1
MA0896.1,6,2780,8.21917808219178,5.56,1.478269439243126,0.2196349827942243,Hmx1
MA0829.2,7,3369,9.58904109589041,6.7379999999999995,1.423128687428081,0.22033888401182958,SREBF1
MA0738.1,11,5790,15.068493150684931,11.58,1.3012515674166607,0.22054665224501632,HIC2
MA0116.1,9,4576,12.32876712328767,9.152000000000001,1.3471117923172715,0.22214643221439698,Znf423
MA1968.1,3,1132,4.10958904109589,2.2640000000000002,1.8151895057844034,0.22921979085169233,TFCP2
MA0621.1,7,3411,9.58904109589041,6.822,1.405605554953153,0.22938752194572437,mix-a
MA1550.1,8,4020,10.95890410958904,8.04,1.3630477748245076,0.23151417242858346,PPARD
MA1536.1,7,3426,9.58904109589041,6.851999999999999,1.3994514150453023,0.23265135102490764,NR2C2
MA1931.1,4,1698,5.47945205479452,3.396,1.61350178291947,0.2359170317148196,ELK1::HOXA1
MA1991.1,9,4660,12.32876712328767,9.32,1.3228290904815097,0.23789401236015364,Hnf1A
MA1574.1,8,4060,10.95890410958904,8.12,1.34961873270801,0.23961257110753886,THRB
MA1570.1,4,1719,5.47945205479452,3.438,1.5937905918541362,0.24254620490275286,TFAP4
MA1947.1,10,5303,13.698630136986301,10.606,1.291592507730181,0.24306798184412912,ETV5::FOXO1
MA1524.2,10,5304,13.698630136986301,10.607999999999999,1.2913489948139425,0.24324871210920007,Msgn1
MA0648.1,9,4703,12.32876712328767,9.406,1.3107343316274367,0.2461159617771673,GSC
MA2001.1,7,3494,9.58904109589041,6.9879999999999995,1.372215382926504,0.2476487202452774,Six4
MA0744.2,7,3519,9.58904109589041,7.038,1.362466765542826,0.25324140640607345,SCRT2
MA0510.2,5,2349,6.8493150684931505,4.698,1.4579214705179118,0.25860049688972175,RFX5
MA1474.1,4,1772,5.47945205479452,3.544,1.5461207829555643,0.25946736724062336,CREB3L4
MA0642.2,5,2354,6.8493150684931505,4.707999999999999,1.454824780903388,0.25998985164714317,EN2
MA1720.1,9,4794,12.32876712328767,9.588000000000001,1.285853892708351,0.26384855595902934,ZNF85
MA0483.1,12,6676,16.43835616438356,13.352,1.2311530979915788,0.26426771624464873,Gfi1B
MA1939.1,4,1807,5.47945205479452,3.614,1.5161737838391036,0.27077460319858354,ERF::SREBF2
MA0626.1,5,2402,6.8493150684931505,4.804,1.4257525121759262,0.2734205883400851,Npas2
MA0792.1,7,3632,9.58904109589041,7.263999999999999,1.3200772433769838,0.2789977012440316,POU5F1B
MA0856.1,7,3658,9.58904109589041,7.316000000000001,1.3106945183010401,0.2850247712450961,RXRG
MA0881.1,5,2449,6.8493150684931505,4.898000000000001,1.3983901732325745,0.28672060776821745,Dlx4
MA0805.1,7,3670,9.58904109589041,7.340000000000001,1.3064088686499196,0.2878180718541429,TBX1
MA0514.2,6,3065,8.21917808219178,6.13,1.340812085186261,0.2897760791652716,Sox3
MA0627.2,8,4304,10.95890410958904,8.608,1.2731068900544888,0.2910214174296158,POU2F3
MA0809.2,9,4931,12.32876712328767,9.862,1.2501284854276689,0.29131003955345464,TEAD4
MA0804.1,3,1290,4.10958904109589,2.58,1.5928639694170115,0.2913416665730177,TBX19
MA0111.1,8,4313,10.95890410958904,8.626000000000001,1.270450279340255,0.2929750921659267,Spz1
MA0688.1,6,3089,8.21917808219178,6.178,1.330394639396533,0.2959187418719245,TBX2
MA1592.1,7,3707,9.58904109589041,7.414,1.2933694491354748,0.2964744894308738,ZNF274
MA0749.1,1,243,1.36986301369863,0.486,2.8186481763346296,0.29945862990278516,ZBED1
MA0009.2,3,1311,4.10958904109589,2.622,1.567348985925206,0.2997271699368044,TBXT
MA0790.1,8,4346,10.95890410958904,8.692,1.260803510076972,0.30016832388724035,POU4F1
MA0602.1,5,2497,6.8493150684931505,4.994,1.3715088242877755,0.30043549691123267,Arid5a
MA0828.2,3,1314,4.10958904109589,2.628,1.5637705635829109,0.3009264682772253,SREBF2
MA2003.1,7,3727,9.58904109589041,7.454,1.2864289101006723,0.3011798133103344,NKX2-4
MA1572.1,5,2502,6.8493150684931505,5.0040000000000004,1.3687679992991906,0.30187097347971875,TGIF2LY
MA0686.1,3,1317,4.10958904109589,2.634,1.560208443848098,0.30212607035822364,SPDEF
MA1568.1,4,1907,5.47945205479452,3.814,1.436668079390278,0.3035400580572231,TCF21
MA0525.2,3,1322,4.10958904109589,2.644,1.55430750419663,0.304126047552254,TP63
MA0901.2,10,5642,13.698630136986301,11.283999999999999,1.2139870734656417,0.3069883284673495,HOXB13
MA1484.1,4,1920,5.47945205479452,3.84,1.4269406392694064,0.3078391907366542,ETS2
MA1153.1,6,3136,8.21917808219178,6.272,1.3104556891249648,0.30802805023053037,Smad4
MA1989.1,9,5013,12.32876712328767,10.026,1.22967954551044,0.3081276209955886,Bcl11B
MA1538.1,5,2533,6.8493150684931505,5.066,1.352016397254866,0.31079685654804395,NR2F1
MA0789.1,6,3157,8.21917808219178,6.314,1.3017386889755749,0.31346988540010706,POU3F4
MA0122.3,6,3159,8.21917808219178,6.318,1.3009145429236753,0.3139890922987837,Nkx3-2
MA1480.1,7,3784,9.58904109589041,7.568,1.267050884763532,0.314682333737833,DPRX
MA1533.1,5,2547,6.8493150684931505,5.094,1.3445848190995584,0.31484157422169334,NR1I2
MA0855.1,7,3786,9.58904109589041,7.571999999999999,1.2663815499062878,0.31515843173086844,RXRB
MA1527.1,11,6327,15.068493150684931,12.654000000000002,1.1908086890062375,0.3157548178170165,NFIC
MA0834.1,3,1357,4.10958904109589,2.714,1.5142185118260465,0.3181436374751558,ATF7
MA0700.2,6,3179,8.21917808219178,6.358,1.2927301167335294,0.31918970587245066,LHX2
MA0674.1,5,2564,6.8493150684931505,5.128,1.3356698651507704,0.3197634614559917,NKX6-1
MA0675.1,5,2564,6.8493150684931505,5.128,1.3356698651507704,0.3197634614559917,NKX6-2
MA1519.1,5,2564,6.8493150684931505,5.128,1.3356698651507704,0.3197634614559917,LHX5
MA0715.1,7,3812,9.58904109589041,7.6240000000000006,1.2577441101640097,0.32136100672853374,PROP1
MA0652.1,5,2572,6.8493150684931505,5.144,1.3315153710134429,0.3220833715565528,IRF8
MA0030.1,6,3195,8.21917808219178,6.39,1.2862563508907325,0.32336090119987526,FOXF2
MA1944.1,6,3203,8.21917808219178,6.406000000000001,1.283043721853228,0.3254498816795353,ETV5::DRGX
MA1121.1,8,4467,10.95890410958904,8.934000000000001,1.2266514561886097,0.3269028728637253,TEAD2
MA0861.1,4,1986,5.47945205479452,3.972,1.3795196512574321,0.3297631553052385,TP73
MA1518.2,4,1987,5.47945205479452,3.9739999999999998,1.3788253786599196,0.33009635057244974,Lhx1
MA0755.1,2,808,2.73972602739726,1.616,1.69537501695375,0.3305859389739152,CUX2
MA0076.2,6,3227,8.21917808219178,6.454,1.273501407219055,0.33172954829189716,ELK4
MA1594.1,6,3232,8.21917808219178,6.464,1.2715312627153124,0.3330400977253787,ZNF382
MA1554.1,3,1400,4.10958904109589,2.8000000000000003,1.4677103718199607,0.3353867936279704,RFX7
MA0658.1,4,2014,5.47945205479452,4.0280000000000005,1.360340629293575,0.33910094019661785,LHX6
MA1525.2,7,3886,9.58904109589041,7.771999999999999,1.233793244453218,0.33913696692883233,NFATC4
MA0678.1,3,1410,4.10958904109589,2.82,1.457301078402798,0.33939682781522906,OLIG2
MA0823.1,4,2015,5.47945205479452,4.03,1.3596655222815186,0.3394347165046746,HEY1
MA1507.1,5,2642,6.8493150684931505,5.284,1.296236765422625,0.34246883697285024,HOXD4
MA0882.1,5,2644,6.8493150684931505,5.288,1.2952562534971919,0.34305321243259507,DLX6
MA1994.1,8,4583,10.95890410958904,9.166,1.1956037649562556,0.3529628848403995,Nkx2-1
MA0719.1,9,5238,12.32876712328767,10.476,1.1768582591912629,0.3554016086886921,RHOXF1
MA0754.2,2,858,2.73972602739726,1.7160000000000002,1.5965769390426923,0.3571645280615522,CUX1
MA1932.1,3,1456,4.10958904109589,2.912,1.4112599729038084,0.3578251997993601,ELK1::HOXB13
MA0758.1,4,2072,5.47945205479452,4.144,1.3222615962341988,0.358480270685141,E2F7
MA0766.2,5,2698,6.8493150684931505,5.396,1.2693319252211177,0.35886084365137744,GATA5
MA1964.1,10,5912,13.698630136986301,11.824,1.1585444973770553,0.360808882822578,SMAD2
MA0914.1,5,2709,6.8493150684931505,5.418,1.264177753505565,0.3620865171527941,ISL2
MA0886.1,4,2089,5.47945205479452,4.178,1.311501209859866,0.3641643298681365,EMX2
MA0647.1,3,1474,4.10958904109589,2.948,1.3940261333432462,0.36502265599702,GRHL1
MA1979.1,12,7258,16.43835616438356,14.516000000000002,1.132430157370044,0.36850467783133195,ZNF416
MA1419.1,4,2117,5.47945205479452,4.234,1.2941549491720643,0.3735249018089323,IRF4
MA0631.1,3,1501,4.10958904109589,3.0020000000000002,1.3689503801118885,0.3757973443475856,Six3
MA0799.2,3,1512,4.10958904109589,3.024,1.358991085018482,0.380178192346727,RFX4
MA0025.2,5,2772,6.8493150684931505,5.5440000000000005,1.235446440925893,0.3805805496091581,NFIL3
MA1625.1,9,5357,12.32876712328767,10.714,1.1507156172566428,0.3808786179282922,Stat5b
MA0140.2,6,3430,8.21917808219178,6.859999999999999,1.1981309157713966,0.38537565165558263,GATA1::TAL1
MA0017.2,11,6699,15.068493150684931,13.398,1.124682277256675,0.38722810823247994,NR2F1
MA0895.1,3,1530,4.10958904109589,3.06,1.3430029546064999,0.38733406308886453,HMBOX1
MA0817.1,3,1531,4.10958904109589,3.0620000000000003,1.3421257482351043,0.38773111261069115,BHLHE23
MA0699.1,5,2800,6.8493150684931505,5.6000000000000005,1.223091976516634,0.38880375308223647,LBX2
MA1131.1,4,2166,5.47945205479452,4.332,1.2648781289922715,0.3898877799892776,FOSL2::JUN
MA1937.1,4,2175,5.47945205479452,4.35,1.259644150527476,0.39288898316338594,ERF::HOXB13
MA0119.1,10,6082,13.698630136986301,12.164,1.1261616357272526,0.39547536256797683,NFIC::TLX1
MA0124.2,5,2823,6.8493150684931505,5.646,1.2131270046923752,0.39555659832634993,Nkx3-1
MA0752.1,4,2186,5.47945205479452,4.372,1.2533055935028639,0.39655477436662856,ZNF410
MA0141.3,7,4123,9.58904109589041,8.246,1.1628718282670882,0.39687392095258645,ESRRB
MA0027.2,6,3477,8.21917808219178,6.954000000000001,1.1819353008616307,0.3978638345027422,EN1
